tv,name,sector,industry,mcap_b,summary
NASDAQ:ONB,Old National Bancorp,Financial Services,Banks - Regional,9.7,"Old National Bancorp operates as the bank holding company for Old National Bank that provides consumer and commercial banking services in the United States. It accepts deposit accounts, such as noninterest-bearing demand, interest-bearing checking and negotiable order of withdrawal, savings and money market, and time deposits. The company also offers loans, including home equity lines of credit, r"
NASDAQ:VICR,Vicor Corporation,Technology,Electronic Components,8.6,"Vicor Corporation, together with its subsidiaries, designs, develops, manufactures, and markets modular power components and power systems for converting electrical power for use in electrically powered devices in the United States, Europe, the Asia Pacific, and internationally. The company offers a range of brick-format DC-DC converters; complementary components that provide AC line rectification"
NYSE:ORI,Old Republic International Corp,Financial Services,Insurance - Property & Casualty,9.8,"Old Republic International Corporation, through its subsidiaries, provides insurance underwriting and related services in the United States and Canada. It operates in two segments, Specialty Insurance and Title Insurance. The Specialty Insurance segment provides lines of coverages, such as accident and health, aviation, commercial auto, commercial multi-peril, commercial property, cyber, environme"
NASDAQ:SIRI,SiriusXM Holdings Inc.,Communication Services,Entertainment,9.6,"Sirius XM Holdings Inc. operates as an audio entertainment company in North America. It operates through two segments, Sirius XM, and Pandora and Off-platform. The Sirius XM segment provides music, sports, entertainment, comedy, and talk and news channels, as well as podcast and infotainment services on subscription fee basis; and live, curated, and exclusive and on demand programming services thr"
NYSE:CTRE,"CareTrust REIT, Inc.",Real Estate,REIT - Healthcare Facilities,9.2,"CareTrust REIT, Inc. is a self-administered, publicly-traded real estate investment trust engaged in the ownership, acquisition, development and leasing of skilled nursing, seniors housing and other healthcare-related properties. With a portfolio of long-term net-leased properties spanning the United States and United Kingdom, and a growing portfolio of quality operators leasing them, CareTrust is"
NASDAQ:AAL,"American Airlines Group, Inc.",Industrials,Airlines,8.6,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier in the United States, Latin America, Atlantic, and Pacific. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gatew"
NYSE:GTLS,"Chart Industries, Inc.",Industrials,Specialty Industrial Machinery,10.0,"Chart Industries, Inc. engages in the designing, engineering, and manufacturing of process technologies and equipment for the gas and liquid molecules. It operates through Cryo Tank Solutions, Heat Transfer Systems, Specialty Products, and Repair, Service and Leasing segments. The company provides microbulk and mobile equipment; bulk and packaged gas cryogenic solutions for the storage, distributi"
NASDAQ:KRYS,"Krystal Biotech, Inc.",Healthcare,Biotechnology,10.2,"Krystal Biotech, Inc., a commercial-stage biotechnology company, discovers, develops, manufactures, and commercializes genetic medicines to treat diseases with high unmet medical needs in the United States. The company commercializes VYJUVEK (beremagene geperpavec-svdt, or B-VEC) for the treatment of dystrophic epidermolysis bullosa (DEB). It also develops KB803 for ocular complications of dystrop"
NASDAQ:CORT,Corcept Therapeutics Incorporat,Healthcare,Biotechnology,12.6,"Corcept Therapeutics Incorporated, a biopharmaceutical company, engages in the discovery and development of medications to treat severe endocrinologic, oncologic, metabolic, and neurologic disorders in the United States. The company offers Korlym, an oral medication for the treatment of hyperglycemia secondary to hypercortisolism in adult patients with endogenous Cushing's syndrome who have type 2"
TSX:ATZ,ARITZIA INC,Consumer Cyclical,Apparel Retail,14.5,"Aritzia Inc., together with its subsidiaries, designs, develops, and sells apparels and accessories for women in the United States and Canada. The company offers activewear, blazers and vests, dresses, intimates and shapewear, jackets and coats, jeans, lounge wears, pants, bodysuits, tanks, shirts and blouses, shorts, skirts, sweaters and cardigans, sweatpants, sweatshirts and hoodies, denim, and "
NYSE:BRX,Brixmor Property Group Inc.,Real Estate,REIT - Retail,8.9,"Brixmor Property Group Inc. owns and operates a high-quality, national portfolio of open-air shopping centers. The Company's 346 retail centers comprise approximately 63 million square feet of prime retail space in established trade areas. Brixmor's properties reflect their vision (to be the center of the communities we serve) and are home to a diverse mix of thriving national, regional and local "
NASDAQ:ENSG,"The Ensign Group, Inc.",Healthcare,Medical Care Facilities,9.8,"The Ensign Group, Inc. provides skilled nursing, senior living, and rehabilitative services. It operates through two segments: Skilled Services and Standard Bearer. The Skilled Services segment provides short and long-term nursing care services for patients with chronic conditions, prolonged illness, and the elderly; specialty care, such as on-site dialysis, ventilator care, cardiac, and pulmonary"
NYSE:SSB,SouthState Bank Corporation,Financial Services,Banks - Regional,10.2,"SouthState Bank Corporation operates as the bank holding company for SouthState Bank, National Association that provides a range of banking services and products to individuals and companies in the United States. The company offers checking accounts, savings accounts, money market accounts, and time deposit accounts; interest-bearing deposits, certificates of deposits, and other time deposits; and"
NYSE:BEP,Brookfield Renewable Partners L,Utilities,Utilities - Renewable,15.3,"Brookfield Renewable Partners L.P. owns a portfolio of renewable power generating facilities in the North America, Colombia, and Brazil. The company generates electricity through hydroelectric, wind, solar, distributed generation, and pumped storage; and offers sustainable solutions, such as renewable natural gas, carbon capture and storage, recycling, cogeneration, biomass, nuclear services, eFue"
